songname,artist,album,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,track_href,duration_ms,cluster_6_10
Heat Waves,Glass Animals,Dreamland,0.7609999999999999,0.525,11,-6.9,1,0.0944,0.44,6.7e-06,0.0921,0.531,80.87,3USxtqRwSYz57Ewm6wWRMp,spotify:track:3USxtqRwSYz57Ewm6wWRMp,https://api.spotify.com/v1/tracks/3USxtqRwSYz57Ewm6wWRMp,238805,3
Super Gremlin,Kodak Black,Back For Everything,0.825,0.414,2,-6.6339999999999995,1,0.14400000000000002,0.00265,0.0,0.35700000000000004,0.106,72.993,1Y5Jvi3eLi4Chwqch9GMem,spotify:track:1Y5Jvi3eLi4Chwqch9GMem,https://api.spotify.com/v1/tracks/1Y5Jvi3eLi4Chwqch9GMem,200548,5
abcdefu,GAYLE,abcdefu,0.695,0.54,4,-5.692,1,0.0493,0.299,0.0,0.36700000000000005,0.415,121.932,4fouWK6XVHhzl78KzQ1UjL,spotify:track:4fouWK6XVHhzl78KzQ1UjL,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,168602,0
Ghost,Justin Bieber,Justice,0.601,0.741,2,-5.569,1,0.0478,0.185,2.9100000000000003e-05,0.415,0.441,153.96,6I3mqTwhRpn34SLVafSH7G,spotify:track:6I3mqTwhRpn34SLVafSH7G,https://api.spotify.com/v1/tracks/6I3mqTwhRpn34SLVafSH7G,153190,0
Easy On Me,Adele,Easy On Me,0.604,0.366,5,-7.519,1,0.0282,0.578,0.0,0.133,0.13,141.981,0gplL1WMoJ6iYaPgMCL0gX,spotify:track:0gplL1WMoJ6iYaPgMCL0gX,https://api.spotify.com/v1/tracks/0gplL1WMoJ6iYaPgMCL0gX,224695,1
THATS WHAT I WANT,Lil Nas X,MONTERO,0.737,0.846,1,-4.51,0,0.22,0.00614,0.0,0.0486,0.546,87.98100000000001,0e8nrvls4Qqv5Rfa2UhqmO,spotify:track:0e8nrvls4Qqv5Rfa2UhqmO,https://api.spotify.com/v1/tracks/0e8nrvls4Qqv5Rfa2UhqmO,143901,5
Bad Habits,Ed Sheeran,=,0.807,0.893,11,-3.745,0,0.0347,0.0451,2.7899999999999997e-05,0.366,0.537,126.01100000000001,3rmo8F54jFF8OgYsqTxm5d,spotify:track:3rmo8F54jFF8OgYsqTxm5d,https://api.spotify.com/v1/tracks/3rmo8F54jFF8OgYsqTxm5d,230747,2
Shivers,Ed Sheeran,=,0.7879999999999999,0.8590000000000001,2,-2.7239999999999998,1,0.0856,0.281,0.0,0.0424,0.8220000000000001,141.02,50nfwKoDiSYg8zOCREWAm5,spotify:track:50nfwKoDiSYg8zOCREWAm5,https://api.spotify.com/v1/tracks/50nfwKoDiSYg8zOCREWAm5,207853,3
Woman,Doja Cat,Planet Her,0.8240000000000001,0.764,5,-4.175,0,0.0854,0.0888,0.00294,0.11699999999999999,0.8809999999999999,107.99799999999999,6Uj1ctrBOjOas8xZXGqKk4,spotify:track:6Uj1ctrBOjOas8xZXGqKk4,https://api.spotify.com/v1/tracks/6Uj1ctrBOjOas8xZXGqKk4,172627,2
Big Energy,Latto,Big Energy,0.935,0.807,11,-3.838,0,0.114,0.0514,0.0,0.349,0.813,106.01700000000001,6Zu3aw7FfjAF9WA0fA81Oq,spotify:track:6Zu3aw7FfjAF9WA0fA81Oq,https://api.spotify.com/v1/tracks/6Zu3aw7FfjAF9WA0fA81Oq,173182,2
Need to Know,Doja Cat,Planet Her,0.664,0.609,1,-6.5089999999999995,1,0.0707,0.304,0.0,0.0926,0.19399999999999998,130.041,3Vi5XqYrmQgOYBajMWSvCi,spotify:track:3Vi5XqYrmQgOYBajMWSvCi,https://api.spotify.com/v1/tracks/3Vi5XqYrmQgOYBajMWSvCi,210560,0
AHHH HA,Lil Durk,AHHH HA,0.6759999999999999,0.61,1,-9.185,1,0.273,0.00011399999999999999,1.73e-06,0.191,0.519,156.005,54VFhe501kUbDYj2OrueMp,spotify:track:54VFhe501kUbDYj2OrueMp,https://api.spotify.com/v1/tracks/54VFhe501kUbDYj2OrueMp,186538,5
Levitating (feat. DaBaby),Dua Lipa,Future Nostalgia,0.7020000000000001,0.825,6,-3.787,0,0.0601,0.00883,0.0,0.0674,0.915,102.977,5nujrmhLynf4yMoMtj8AQF,spotify:track:5nujrmhLynf4yMoMtj8AQF,https://api.spotify.com/v1/tracks/5nujrmhLynf4yMoMtj8AQF,203064,2
'Til You Can't,Cody Johnson,Human The Double Album,0.501,0.815,1,-4.865,1,0.0436,0.0513,0.0,0.106,0.46,160.08700000000002,4k3lPl8YTKuY8c1HelVnm3,spotify:track:4k3lPl8YTKuY8c1HelVnm3,https://api.spotify.com/v1/tracks/4k3lPl8YTKuY8c1HelVnm3,224213,0
I Hate U,SZA,I Hate U,0.535,0.38799999999999996,7,-9.805,0,0.155,0.507,0.0,0.11,0.41200000000000003,106.70299999999999,5dXWFMwD7I7zXsInONVl0H,spotify:track:5dXWFMwD7I7zXsInONVl0H,https://api.spotify.com/v1/tracks/5dXWFMwD7I7zXsInONVl0H,174000,2
Hrs and Hrs,Muni Long,Public Displays Of Affection,0.511,0.525,8,-4.595,0,0.183,0.604,0.0,0.111,0.6609999999999999,139.885,3xRH6FPVtheDyNla3T1FE7,spotify:track:3xRH6FPVtheDyNla3T1FE7,https://api.spotify.com/v1/tracks/3xRH6FPVtheDyNla3T1FE7,204317,2
good 4 u,Olivia Rodrigo,SOUR,0.563,0.664,9,-5.044,1,0.154,0.335,0.0,0.0849,0.688,166.928,4ZtFanR9U6ndgddUvNcjcG,spotify:track:4ZtFanR9U6ndgddUvNcjcG,https://api.spotify.com/v1/tracks/4ZtFanR9U6ndgddUvNcjcG,178147,0
Light Switch,Charlie Puth,Light Switch,0.69,0.626,6,-5.693,1,0.306,0.105,0.000335,0.0881,0.912,184.00900000000001,1BSMpVGWs3v5BZKnAQziAc,spotify:track:1BSMpVGWs3v5BZKnAQziAc,https://api.spotify.com/v1/tracks/1BSMpVGWs3v5BZKnAQziAc,185681,5
Golden Child,Lil Durk,7220,0.841,0.532,2,-9.307,1,0.278,0.00864,2.48e-06,0.268,0.319,79.993,4UO8Ywh6dKZVJZ9iUofEhD,spotify:track:4UO8Ywh6dKZVJZ9iUofEhD,https://api.spotify.com/v1/tracks/4UO8Ywh6dKZVJZ9iUofEhD,114580,5
Fancy Like,Walker Hayes,Country Stuff,0.649,0.76,1,-6.487,1,0.0574,0.114,0.0,0.317,0.843,80.018,3ZozFqJJlDBNIm4xqxn2ZD,spotify:track:3ZozFqJJlDBNIm4xqxn2ZD,https://api.spotify.com/v1/tracks/3ZozFqJJlDBNIm4xqxn2ZD,161853,3
Fingers Crossed,Lauren Spencer-Smith,Fingers Crossed,0.56,0.473,5,-7.23,1,0.0533,0.618,0.0,0.31,0.441,109.414,3yMC1KsTwh0ceXdIe4QQAQ,spotify:track:3yMC1KsTwh0ceXdIe4QQAQ,https://api.spotify.com/v1/tracks/3yMC1KsTwh0ceXdIe4QQAQ,175345,1
love nwantiti (ah ah ah),CKay,CKay The First,0.727,0.7390000000000001,8,-3.805,1,0.0411,0.365,0.00137,0.161,0.5329999999999999,93.005,2Xr1dTzJee307rmrkt8c0g,spotify:track:2Xr1dTzJee307rmrkt8c0g,https://api.spotify.com/v1/tracks/2Xr1dTzJee307rmrkt8c0g,145800,3
Sand In My Boots,Morgan Wallen,Dangerous: The Double Album,0.40299999999999997,0.537,3,-6.627999999999999,1,0.031,0.59,0.0,0.11199999999999999,0.414,69.877,0uRrG2jRR5tuifsYIJHEao,spotify:track:0uRrG2jRR5tuifsYIJHEao,https://api.spotify.com/v1/tracks/0uRrG2jRR5tuifsYIJHEao,202133,1
Doin' This,Luke Combs,Doin' This,0.593,0.552,1,-5.837999999999999,1,0.027999999999999997,0.18,1.7100000000000002e-05,0.11,0.39,115.0,4GyD3o5hWoyCuYpdlzZlRL,spotify:track:4GyD3o5hWoyCuYpdlzZlRL,https://api.spotify.com/v1/tracks/4GyD3o5hWoyCuYpdlzZlRL,254181,0
Something In The Way,Nirvana,Nevermind (Remastered),0.42700000000000005,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.21799999999999,1nFtiJxYdhtFfFtfXBv06s,spotify:track:1nFtiJxYdhtFfFtfXBv06s,https://api.spotify.com/v1/tracks/1nFtiJxYdhtFfFtfXBv06s,232147,1
Barbarian,Lil Durk,7220,0.645,0.6779999999999999,8,-8.343,1,0.409,0.0389,0.0,0.11,0.158,98.016,6DPEzXUB3ZVzT2NDh7MkJt,spotify:track:6DPEzXUB3ZVzT2NDh7MkJt,https://api.spotify.com/v1/tracks/6DPEzXUB3ZVzT2NDh7MkJt,149244,5
Boyfriend,Dove Cameron,Boyfriend,0.345,0.612,7,-6.542999999999999,0,0.0608,0.23199999999999998,0.0,0.19399999999999998,0.23199999999999998,179.773,59CfNbkERJ3NoTXDvoURjj,spotify:track:59CfNbkERJ3NoTXDvoURjj,https://api.spotify.com/v1/tracks/59CfNbkERJ3NoTXDvoURjj,153000,0
To Be Loved By You,Parker McCollum,To Be Loved By You,0.473,0.802,10,-4.497,1,0.037000000000000005,0.00036,0.0,0.304,0.45299999999999996,145.983,5Ykc3Wr4L4wef5QDdaaxM7,spotify:track:5Ykc3Wr4L4wef5QDdaaxM7,https://api.spotify.com/v1/tracks/5Ykc3Wr4L4wef5QDdaaxM7,198324,0
AA,Walker Hayes,AA,0.635,0.747,4,-6.227,1,0.0293,0.00313,0.0,0.34600000000000003,0.753,104.027,77oKig47u34qCCFWKMfu1e,spotify:track:77oKig47u34qCCFWKMfu1e,https://api.spotify.com/v1/tracks/77oKig47u34qCCFWKMfu1e,189560,3
Shootout @ My Crib,Lil Durk,7220,0.754,0.5529999999999999,10,-8.777000000000001,0,0.39399999999999996,0.06,0.0,0.10800000000000001,0.195,90.6,23PzodQrNGxbywlba84Rva,spotify:track:23PzodQrNGxbywlba84Rva,https://api.spotify.com/v1/tracks/23PzodQrNGxbywlba84Rva,153813,5
Numb Little Bug,Em Beihold,Numb Little Bug,0.742,0.527,8,-6.892,0,0.0769,0.327,0.0,0.25,0.638,84.97399999999999,3o9kpgkIcffx0iSwxhuNI2,spotify:track:3o9kpgkIcffx0iSwxhuNI2,https://api.spotify.com/v1/tracks/3o9kpgkIcffx0iSwxhuNI2,169238,2
Started From,Lil Durk,7220,0.624,0.561,7,-8.757,1,0.47600000000000003,0.0895,0.0,0.109,0.35700000000000004,159.186,03cBu30KbreokkrclGPQf8,spotify:track:03cBu30KbreokkrclGPQf8,https://api.spotify.com/v1/tracks/03cBu30KbreokkrclGPQf8,121060,5
Headtaps,Lil Durk,7220,0.562,0.609,5,-7.672000000000001,1,0.27899999999999997,0.0461,0.0,0.131,0.38,158.803,3HWQrKGmb05pcNoTIzzBwL,spotify:track:3HWQrKGmb05pcNoTIzzBwL,https://api.spotify.com/v1/tracks/3HWQrKGmb05pcNoTIzzBwL,173880,5
she's all i wanna be,Tate McRae,she's all i wanna be,0.614,0.644,2,-5.372000000000001,0,0.0426,0.0134,7.07e-06,0.11699999999999999,0.6509999999999999,160.036,0IuVhCflrQPMGRrOyoY5RW,spotify:track:0IuVhCflrQPMGRrOyoY5RW,https://api.spotify.com/v1/tracks/0IuVhCflrQPMGRrOyoY5RW,206772,2
Smoking & Thinking,Lil Durk,7220,0.8420000000000001,0.512,11,-8.202,1,0.33299999999999996,0.0169,0.0,0.20199999999999999,0.688,162.023,1OybHaoLAhB6biFWfaCVDw,spotify:track:1OybHaoLAhB6biFWfaCVDw,https://api.spotify.com/v1/tracks/1OybHaoLAhB6biFWfaCVDw,147392,5
23,Sam Hunt,23,0.6409999999999999,0.78,3,-5.138,1,0.0852,0.0206,0.0,0.14300000000000002,0.693,98.00399999999999,4PuAqZlL1tkidkuxfDlLbF,spotify:track:4PuAqZlL1tkidkuxfDlLbF,https://api.spotify.com/v1/tracks/4PuAqZlL1tkidkuxfDlLbF,179720,3
Slow Down Summer,Thomas Rhett,Slow Down Summer,0.46399999999999997,0.755,4,-5.707000000000001,1,0.0354,0.00838,0.0,0.0989,0.449,155.97299999999998,1fff5nZGyRJtFLkOrSSwOU,spotify:track:1fff5nZGyRJtFLkOrSSwOU,https://api.spotify.com/v1/tracks/1fff5nZGyRJtFLkOrSSwOU,216764,0
Grow Up/Keep It On Speaker,Lil Durk,7220,0.512,0.633,1,-7.9510000000000005,0,0.289,0.0276,2.02e-06,0.578,0.23600000000000002,113.62100000000001,4AP3P2EVKANYuJk3Fi3v6Y,spotify:track:4AP3P2EVKANYuJk3Fi3v6Y,https://api.spotify.com/v1/tracks/4AP3P2EVKANYuJk3Fi3v6Y,196341,5
Nail Tech,Jack Harlow,Nail Tech,0.647,0.581,4,-7.678,0,0.0884,0.0029,7.76e-06,0.11900000000000001,0.113,150.149,62Yo3FDddWY8ydu6PW2wyz,spotify:track:62Yo3FDddWY8ydu6PW2wyz,https://api.spotify.com/v1/tracks/62Yo3FDddWY8ydu6PW2wyz,206385,2
Blocklist,Lil Durk,7220,0.621,0.5720000000000001,5,-8.102,0,0.218,0.0615,0.0,0.08900000000000001,0.20800000000000002,83.694,79cq3PF1wgkDVTAFMlOjNB,spotify:track:79cq3PF1wgkDVTAFMlOjNB,https://api.spotify.com/v1/tracks/79cq3PF1wgkDVTAFMlOjNB,126653,5
Heart On Fire,Eric Church,Heart,0.653,0.927,8,-4.699,1,0.0289,0.0352,4.47e-05,0.0966,0.894,119.97,0ysCB1Jg4hli0XlEWlipo7,spotify:track:0ysCB1Jg4hli0XlEWlipo7,https://api.spotify.com/v1/tracks/0ysCB1Jg4hli0XlEWlipo7,258800,3
Circles Around This Town,Maren Morris,Circles Around This Town,0.591,0.8140000000000001,4,-4.986000000000001,1,0.0468,0.015,0.0,0.11699999999999999,0.815,149.9,13G5xv1wUKvJYbK0wYmioN,spotify:track:13G5xv1wUKvJYbK0wYmioN,https://api.spotify.com/v1/tracks/13G5xv1wUKvJYbK0wYmioN,195760,0
If I Was a Cowboy,Miranda Lambert,If I Was a Cowboy,0.575,0.644,6,-5.68,0,0.0309,0.271,0.0,0.131,0.626,80.07,6F7UOC6fPWOkPqybOWBHSv,spotify:track:6F7UOC6fPWOkPqybOWBHSv,https://api.spotify.com/v1/tracks/6F7UOC6fPWOkPqybOWBHSv,195013,2
Sacrifice,The Weeknd,Dawn FM,0.735,0.795,11,-6.523,0,0.113,0.0296,3.18e-05,0.0678,0.905,122.0,1nH2PkJL1XoUq8oE6tBZoU,spotify:track:1nH2PkJL1XoUq8oE6tBZoU,https://api.spotify.com/v1/tracks/1nH2PkJL1XoUq8oE6tBZoU,188918,2
High,The Chainsmokers,High,0.601,0.787,0,-6.178,1,0.031,0.0492,0.0,0.142,0.525,134.981,3t4KHjd8uQpJJ2fa0fRIpR,spotify:track:3t4KHjd8uQpJJ2fa0fRIpR,https://api.spotify.com/v1/tracks/3t4KHjd8uQpJJ2fa0fRIpR,175163,0
Pressure,Ari Lennox,Pressure,0.85,0.6579999999999999,0,-5.558,1,0.221,0.139,0.0,0.063,0.8320000000000001,144.445,6ElfCM1XppU0YWkkFYh4s2,spotify:track:6ElfCM1XppU0YWkkFYh4s2,https://api.spotify.com/v1/tracks/6ElfCM1XppU0YWkkFYh4s2,193279,5
Federal Nightmares,Lil Durk,7220,0.5770000000000001,0.6809999999999999,11,-6.218999999999999,1,0.201,0.0138,0.0,0.17800000000000002,0.539,83.59700000000001,4W730PJT4aw79pZ9D8BLhl,spotify:track:4W730PJT4aw79pZ9D8BLhl,https://api.spotify.com/v1/tracks/4W730PJT4aw79pZ9D8BLhl,151340,5
I Love You So,The Walters,I Love You So,0.575,0.648,10,-4.891,1,0.0358,0.583,0.0,0.115,0.466,75.977,4SqWKzw0CbA05TGszDgMlc,spotify:track:4SqWKzw0CbA05TGszDgMlc,https://api.spotify.com/v1/tracks/4SqWKzw0CbA05TGszDgMlc,160240,3
Banking On Me,Gunna,Banking On Me,0.7929999999999999,0.308,0,-10.414000000000001,0,0.0466,0.613,1.6800000000000002e-05,0.0953,0.46,135.143,7Fege3yv4dvehB3NdRBGwI,spotify:track:7Fege3yv4dvehB3NdRBGwI,https://api.spotify.com/v1/tracks/7Fege3yv4dvehB3NdRBGwI,200000,2
GIVE HEAVEN SOME HELL,HARDY,A ROCK,0.639,0.843,11,-4.975,1,0.0362,0.0525,0.0,0.0854,0.528,126.04700000000001,2bVeUlOC5JjTpkQXuUUoYm,spotify:track:2bVeUlOC5JjTpkQXuUUoYm,https://api.spotify.com/v1/tracks/2bVeUlOC5JjTpkQXuUUoYm,217802,0
Bones,Imagine Dragons,Bones,0.773,0.742,5,-3.678,0,0.046,0.0206,0.0,0.0754,0.5710000000000001,114.071,0HqZX76SFLDz2aW8aiqi7G,spotify:track:0HqZX76SFLDz2aW8aiqi7G,https://api.spotify.com/v1/tracks/0HqZX76SFLDz2aW8aiqi7G,165265,2
Pissed Me Off,Lil Durk,7220,0.723,0.516,11,-10.707,0,0.485,0.0031100000000000004,1.26e-06,0.115,0.223,155.967,0fFeockUN32c4z1bguUIQH,spotify:track:0fFeockUN32c4z1bguUIQH,https://api.spotify.com/v1/tracks/0fFeockUN32c4z1bguUIQH,123077,5
I Hate YoungBoy,YoungBoy Never Broke Again,I Hate YoungBoy,0.584,0.7559999999999999,10,-6.245,0,0.36200000000000004,0.0266,0.0,0.36,0.728,165.269,3itijJswMR7p7RbfqlYf1Z,spotify:track:3itijJswMR7p7RbfqlYf1Z,https://api.spotify.com/v1/tracks/3itijJswMR7p7RbfqlYf1Z,261818,5
